name,score,time,feature_pid
perplexity,51.39900588989258,2025-11-20T18:59:29.748814,
perplexity,89.73979949951172,2025-11-20T18:59:29.956360,
perplexity,30.791030883789062,2025-11-20T18:59:30.142624,
perplexity,35.456417083740234,2025-11-20T18:59:30.385976,
perplexity,22.477333068847656,2025-11-20T18:59:30.679799,
perplexity,51.776695251464844,2025-11-20T18:59:30.799832,
perplexity,43.7138557434082,2025-11-20T18:59:30.901275,
perplexity,21.2725830078125,2025-11-20T18:59:31.050669,
perplexity,37.017642974853516,2025-11-20T18:59:31.201266,
perplexity,40.41626739501953,2025-11-20T18:59:31.304539,
perplexity,36.744327545166016,2025-11-20T18:59:31.532715,
perplexity,37.56951141357422,2025-11-20T18:59:31.708782,
perplexity,38.581520080566406,2025-11-20T18:59:31.816449,
perplexity,28.810487747192383,2025-11-20T18:59:32.102791,
perplexity,44.74399185180664,2025-11-20T18:59:32.219872,
perplexity,33.51516342163086,2025-11-20T18:59:32.412021,
perplexity,30.716455459594727,2025-11-20T18:59:32.575177,
perplexity,23.620908737182617,2025-11-20T18:59:32.724094,
perplexity,45.87971496582031,2025-11-20T18:59:32.877232,
perplexity,30.417882919311523,2025-11-20T18:59:33.118003,
perplexity,76.31739044189453,2025-11-20T18:59:33.236938,
perplexity,44.15663146972656,2025-11-20T18:59:33.355944,
perplexity,44.586673736572266,2025-11-20T18:59:33.496282,
perplexity,50.31293869018555,2025-11-20T18:59:33.648932,
perplexity,50.368316650390625,2025-11-20T18:59:33.701413,
perplexity,50.31293869018555,2025-11-20T18:59:33.852792,
perplexity,68.24222564697266,2025-11-20T18:59:34.008826,
perplexity,37.2160530090332,2025-11-20T18:59:34.147939,
perplexity,32.96943283081055,2025-11-20T18:59:34.248131,
perplexity,125.31494140625,2025-11-20T18:59:34.349700,
perplexity,25.5118465423584,2025-11-20T18:59:34.522025,
perplexity,21.9182186126709,2025-11-20T18:59:34.582407,
perplexity,30.05538558959961,2025-11-20T18:59:34.712217,
perplexity,60.03789520263672,2025-11-20T18:59:34.794964,
perplexity,32.04104232788086,2025-11-20T18:59:34.994650,
perplexity,64.75891876220703,2025-11-20T18:59:35.077409,
perplexity,51.861549377441406,2025-11-20T18:59:35.647541,
perplexity,42.95246124267578,2025-11-20T18:59:35.762824,
perplexity,24.98641586303711,2025-11-20T18:59:35.857565,
perplexity,27.582101821899414,2025-11-20T18:59:35.941186,
perplexity,46.25791549682617,2025-11-20T18:59:36.079927,
perplexity,54.95871353149414,2025-11-20T18:59:36.193954,
perplexity,46.55092239379883,2025-11-20T18:59:36.311671,
perplexity,79.23479461669922,2025-11-20T18:59:36.486465,
perplexity,51.64595031738281,2025-11-20T18:59:36.574127,
perplexity,29.25224494934082,2025-11-20T18:59:36.788891,
perplexity,60.55033874511719,2025-11-20T18:59:36.964157,
perplexity,36.22348403930664,2025-11-20T18:59:37.111617,
perplexity,47.89115524291992,2025-11-20T18:59:37.311181,
perplexity,26.760417938232422,2025-11-20T18:59:37.443862,
perplexity,61.02239227294922,2025-11-20T18:59:37.571404,
perplexity,78.936279296875,2025-11-20T18:59:37.698267,
perplexity,37.51630401611328,2025-11-20T18:59:37.820973,
perplexity,46.21690368652344,2025-11-20T18:59:37.920037,
perplexity,33.16359329223633,2025-11-20T18:59:38.027491,
perplexity,40.9134635925293,2025-11-20T18:59:38.175727,
perplexity,40.488792419433594,2025-11-20T18:59:38.432096,
perplexity,79.33203125,2025-11-20T18:59:38.522733,
perplexity,21.74627113342285,2025-11-20T18:59:38.695453,
perplexity,40.535213470458984,2025-11-20T18:59:38.855751,
perplexity,51.663116455078125,2025-11-20T18:59:38.996622,
perplexity,24.373754501342773,2025-11-20T18:59:39.312422,
perplexity,33.01901626586914,2025-11-20T18:59:39.437599,
perplexity,54.20915603637695,2025-11-20T18:59:39.824583,
perplexity,37.532249450683594,2025-11-20T18:59:39.924811,
perplexity,17.49403190612793,2025-11-20T18:59:40.019403,
perplexity,106.46208953857422,2025-11-20T18:59:40.112362,
perplexity,20.438196182250977,2025-11-20T18:59:40.231214,
perplexity,39.03102111816406,2025-11-20T18:59:40.366539,
perplexity,30.801794052124023,2025-11-20T18:59:40.543755,
perplexity,27.285104751586914,2025-11-20T18:59:40.649179,
perplexity,35.255653381347656,2025-11-20T18:59:40.757642,
perplexity,33.92292404174805,2025-11-20T18:59:40.865753,
perplexity,47.943729400634766,2025-11-20T18:59:41.005409,
perplexity,55.6158332824707,2025-11-20T18:59:41.159469,
perplexity,32.37841796875,2025-11-20T18:59:41.272569,
